code,code,decimal_point,name,pre_close,sec,sse,volunit
000931,000931,2,中证可选,4440.7822265625,index_cn,sh,100
000932,000932,2,中证消费,10978.845703125,index_cn,sh,100
000933,000933,2,中证医药,9877.8427734375,index_cn,sh,100
000934,000934,2,中证金融,5215.5537109375,index_cn,sh,100
000935,000935,2,中证信息,3580.0590820312,index_cn,sh,100
000939,000939,2,民企200,1461.7320556641,index_cn,sh,100
000940,000940,2,财富大盘,4448.7924804688,index_cn,sh,100
000944,000944,2,内地资源,2307.5451660156,index_cn,sh,100
000950,000950,2,300基建,1858.0679931641,index_cn,sh,100
000951,000951,2,300银行,5418.8862304688,index_cn,sh,100
000952,000952,2,300地产,7352.5063476562,index_cn,sh,100
000957,000957,2,300运输,1297.2940673828,index_cn,sh,100
000958,000958,2,创业成长,996.7749023438,index_cn,sh,100
000959,000959,2,银河99,5939.6225585938,index_cn,sh,100
000961,000961,2,中证上游,2221.9985351562,index_cn,sh,100
000963,000963,2,中证下游,4913.4204101562,index_cn,sh,100
000964,000964,2,中证新兴,6902.1259765625,index_cn,sh,100
000966,000966,2,基本400,5515.7900390625,index_cn,sh,100
000969,000969,2,300非周,3721.7556152344,index_cn,sh,100
000971,000971,2,等权90,2404.9614257812,index_cn,sh,100
000974,000974,2,800金融,5331.7421875,index_cn,sh,100
000975,000975,2,钱江30,1119.8572998047,index_cn,sh,100
000977,000977,2,内地低碳,1027.3143310547,index_cn,sh,100
000978,000978,2,医药100,12232.275390625,index_cn,sh,100
000979,000979,2,大宗商品,3461.1157226562,index_cn,sh,100
000982,000982,2,500等权,5748.03515625,index_cn,sh,100
000983,000983,2,智能资产,7839.9248046875,index_cn,sh,100
000984,000984,2,300等权,3442.1433105469,index_cn,sh,100
000986,000986,2,全指能源,1715.755859375,index_cn,sh,100
000987,000987,2,全指材料,2704.6821289062,index_cn,sh,100
000989,000989,2,全指可选,4248.15625,index_cn,sh,100
000990,000990,2,全指消费,9650.9443359375,index_cn,sh,100
000991,000991,2,全指医药,9273.4521484375,index_cn,sh,100
000992,000992,2,全指金融,4983.8295898438,index_cn,sh,100
000993,000993,2,全指信息,4590.1171875,index_cn,sh,100
000998,000998,2,中证TMT,1563.4516601562,index_cn,sh,100
395001,395001,2,主板Ａ股,463.0,index_cn,sz,100
395002,395002,2,主板Ｂ股,288.0,index_cn,sz,100
395003,395003,2,中小板,912.0,index_cn,sz,100
395004,395004,2,创业板,730.0,index_cn,sz,100
395005,395005,2,存托凭证,5.877471754e-39,index_cn,sz,100
395011,395011,2,封闭基金,32768.5,index_cn,sz,100
395012,395012,2,ＬＯＦｓ,240.0,index_cn,sz,100
395013,395013,2,ＥＴＦｓ,384.0,index_cn,sz,100
395014,395014,2,分级基金,226.0,index_cn,sz,100
395021,395021,2,可 转 债,304.0,index_cn,sz,100
395022,395022,2,企业债,264.0,index_cn,sz,100
395024,395024,2,公司债,530.0,index_cn,sz,100
395031,395031,2,国债,2868.0,index_cn,sz,100
395032,395032,2,债券回购,264.0,index_cn,sz,100
395041,395041,2,股票权证,5.877471754e-39,index_cn,sz,100
395099,395099,2,总 成 交,2153.0,index_cn,sz,100
399001,399001,2,深证成指,8552.7978515625,index_cn,sz,100
399002,399002,2,深成指R,10333.4912109375,index_cn,sz,100
399003,399003,2,成份Ｂ指,5603.2338867188,index_cn,sz,100
399004,399004,2,深证100R,4487.8579101562,index_cn,sz,100
399005,399005,2,中小板指,5910.9936523438,index_cn,sz,100
399006,399006,2,创业板指,1457.916015625,index_cn,sz,100
399007,399007,2,深证300,3587.7890625,index_cn,sz,100
399008,399008,2,中小300,1142.1962890625,index_cn,sz,100
399009,399009,2,深证200,3534.1003417969,index_cn,sz,100
399010,399010,2,深证700,5342.4467773438,index_cn,sz,100
399011,399011,2,深证1000,4092.3840332031,index_cn,sz,100
399012,399012,2,创业300,2144.1000976562,index_cn,sz,100
399013,399013,2,深市精选,3858.224609375,index_cn,sz,100
399015,399015,2,中小创新,1731.3956298828,index_cn,sz,100
399016,399016,2,深证创新,2504.2834472656,index_cn,sz,100
399017,399017,2,SME创新,2149.8793945312,index_cn,sz,100
399018,399018,2,创业创新,2766.73828125,index_cn,sz,100
399050,399050,2,创新引擎,1830.1268310547,index_cn,sz,100
399100,399100,2,新 指 数,6656.314453125,index_cn,sz,100
399101,399101,2,中小板综,8732.314453125,index_cn,sz,100
399102,399102,2,创业板综,1757.7602539062,index_cn,sz,100
399103,399103,2,乐富指数,5133.1298828125,index_cn,sz,100
399106,399106,2,深证综指,1467.1820068359,index_cn,sz,100
399107,399107,2,深证Ａ指,1533.8778076172,index_cn,sz,100
399108,399108,2,深证Ｂ指,1002.0615844727,index_cn,sz,100
399231,399231,2,农林指数,984.0908203125,index_cn,sz,100
399232,399232,2,采矿指数,1604.689453125,index_cn,sz,100
399233,399233,2,制造指数,1614.4510498047,index_cn,sz,100
399234,399234,2,水电指数,682.7462768555,index_cn,sz,100
399235,399235,2,建筑指数,1336.9836425781,index_cn,sz,100
399236,399236,2,批零指数,1508.3018798828,index_cn,sz,100
399237,399237,2,运输指数,1019.1016235352,index_cn,sz,100
399238,399238,2,餐饮指数,1152.8153076172,index_cn,sz,100
399239,399239,2,IT指数,1505.443359375,index_cn,sz,100
399240,399240,2,金融指数,831.9281005859,index_cn,sz,100
399241,399241,2,地产指数,2327.5085449219,index_cn,sz,100
399242,399242,2,商务指数,1229.4195556641,index_cn,sz,100
399243,399243,2,科研指数,1490.662109375,index_cn,sz,100
399244,399244,2,公共指数,963.2048950195,index_cn,sz,100
399248,399248,2,文化指数,1079.0872802734,index_cn,sz,100
399249,399249,2,综企指数,524.8209838867,index_cn,sz,100
399297,399297,2,新浪100,2488.7900390625,index_cn,sz,100
399298,399298,2,深信中高,160.0630950928,index_cn,sz,100
399299,399299,2,深信中低,174.329498291,index_cn,sz,100
399300,399300,2,沪深300,3351.0942382812,index_cn,sz,100
399301,399301,2,深信用债,163.0104980469,index_cn,sz,100
399302,399302,2,深公司债,166.2471923828,index_cn,sz,100
399303,399303,2,国证2000,5620.78125,index_cn,sz,100
399306,399306,2,深证ETF,1026.4367675781,index_cn,sz,100
399307,399307,2,深证转债,177.6983947754,index_cn,sz,100
399310,399310,2,国证50,5100.673828125,index_cn,sz,100
399311,399311,2,国证1000,3355.9367675781,index_cn,sz,100
399312,399312,2,国证300,3749.7209472656,index_cn,sz,100
399313,399313,2,巨潮100,3879.7746582031,index_cn,sz,100
399314,399314,2,巨潮大盘,3502.021484375,index_cn,sz,100
399315,399315,2,巨潮中盘,3343.0124511719,index_cn,sz,100
399316,399316,2,巨潮小盘,3722.5603027344,index_cn,sz,100
399317,399317,2,国证Ａ指,3854.8879394531,index_cn,sz,100
399318,399318,2,国证Ｂ指,4200.0166015625,index_cn,sz,100
399319,399319,2,资源优势,1556.5729980469,index_cn,sz,100
399320,399320,2,国证服务,1840.7060546875,index_cn,sz,100
399321,399321,2,国证红利,5469.1518554688,index_cn,sz,100
399322,399322,2,国证治理,7048.453125,index_cn,sz,100
399324,399324,2,深证红利,7006.6611328125,index_cn,sz,100
399326,399326,2,成长40,3886.4594726562,index_cn,sz,100
399328,399328,2,深证治理,7572.2265625,index_cn,sz,100
399330,399330,2,深证100,3559.6823730469,index_cn,sz,100
399333,399333,2,中小板R,6567.4682617188,index_cn,sz,100
399335,399335,2,深证央企,3648.2958984375,index_cn,sz,100
399337,399337,2,深证民营,3566.6223144531,index_cn,sz,100
